iter	Logloss
0	0.6525370234
1	0.612911179
2	0.5763581936
3	0.5485652479
4	0.5174531087
5	0.4935708922
6	0.4704904564
7	0.4515909262
8	0.4323759981
9	0.417583159
10	0.4027541202
11	0.3908804963
12	0.3797597186
13	0.3699519308
14	0.3614373588
15	0.3515216366
16	0.3445319626
17	0.3375363461
18	0.3318471331
19	0.3254534739
20	0.32083229
21	0.3158837763
22	0.311342178
23	0.3076918136
24	0.3040535041
25	0.2988621289
26	0.2948366035
27	0.2905293894
28	0.2875254307
29	0.2841212718
30	0.2807967508
31	0.2780261991
32	0.2760239284
33	0.2738844658
34	0.2713683546
35	0.2694450215
36	0.2676660903
37	0.265485211
38	0.2630925831
39	0.2613118192
40	0.2598412572
41	0.2584971571
42	0.2571874717
43	0.2556090736
44	0.2543078026
45	0.252907532
46	0.2512559209
47	0.2499478181
48	0.2484404948
49	0.2473005885
50	0.2459410163
51	0.2447548274
52	0.2438672521
53	0.2429710312
54	0.2418000285
55	0.2409370183
56	0.2398489736
57	0.2391521906
58	0.2382143047
59	0.2374211073
60	0.2365533662
61	0.2357156766
62	0.2348909438
63	0.2341978344
64	0.2335546034
65	0.2327230315
66	0.232203125
67	0.2316270054
68	0.2311220346
69	0.2306914114
70	0.2298554104
71	0.2289707298
72	0.2284482018
73	0.2278986274
74	0.2274578896
75	0.2269744713
76	0.2265155177
77	0.2260231982
78	0.2255673752
79	0.2249132284
80	0.2244155007
81	0.223807518
82	0.2235596695
83	0.2228307635
84	0.2223082941
85	0.2219203102
86	0.2214233976
87	0.2207526869
88	0.2203220095
89	0.2198564142
90	0.2195470464
91	0.2190232916
92	0.2185571541
93	0.2179841715
94	0.2175330219
95	0.2170251977
96	0.2164445454
97	0.2159625642
98	0.2154281284
99	0.2149733088
100	0.2146053594
101	0.2142738045
102	0.2138249754
103	0.213568232
104	0.2132405565
105	0.2128581489
106	0.212384097
107	0.2118356818
108	0.2113832995
109	0.2109419821
110	0.2104646963
111	0.2100096738
112	0.209575505
113	0.2092607398
114	0.2087043354
115	0.2083810807
116	0.2078834462
117	0.2074460673
118	0.2070330765
119	0.2065850748
120	0.20637725
121	0.2061675592
122	0.2059840714
123	0.2057506276
124	0.2053984715
125	0.204953913
126	0.2047390781
127	0.2044826312
128	0.2041800229
129	0.2038615336
130	0.2036332584
131	0.203352643
132	0.2031118814
133	0.2029005277
134	0.2025248984
135	0.2021559186
136	0.2017952918
137	0.2014513604
138	0.2010372291
139	0.2007235574
140	0.2004678231
141	0.200163105
142	0.1998722249
143	0.1996173637
144	0.1992826085
145	0.1990136862
146	0.1987540832
147	0.1984201742
148	0.1982478452
149	0.1978837226
150	0.1976454503
151	0.1974653255
152	0.1972164939
153	0.1969211725
154	0.1966897468
155	0.1965183439
156	0.1962901199
157	0.1959418666
158	0.1956372938
159	0.1953437661
160	0.1951095371
161	0.1948056174
162	0.1945917199
163	0.1944012762
164	0.1940392319
165	0.193821818
166	0.1934886929
167	0.1933136722
168	0.1930022548
169	0.1927231784
170	0.1924563942
171	0.1922067627
172	0.1918241806
173	0.191598306
174	0.191406139
175	0.1911860055
176	0.1910448177
177	0.1907768726
178	0.190277117
179	0.1900008816
180	0.1897293863
181	0.1893528399
182	0.189133882
183	0.1888935577
184	0.1887001632
185	0.1885498816
186	0.1882292556
187	0.1880740735
188	0.1878368738
189	0.1877028411
190	0.1874755185
191	0.1872059278
192	0.1870106436
193	0.1867101245
194	0.1864463167
195	0.1862988982
196	0.1861665477
197	0.1859752411
198	0.1857317451
199	0.185526699
200	0.185338454
201	0.1851349793
202	0.1849551527
203	0.1847389316
204	0.1845252665
205	0.1842680227
206	0.1841156688
207	0.1838458183
208	0.1835819217
209	0.183429588
210	0.1832251633
211	0.1830512646
212	0.1828506752
213	0.1827107207
214	0.1824651228
215	0.1822057807
216	0.1820655019
217	0.1818175659
218	0.1815352173
219	0.1812312827
220	0.181032655
221	0.1807954277
222	0.1805807742
223	0.1804460595
224	0.1802962971
225	0.1801005395
226	0.1798644864
227	0.1797020366
228	0.1795838782
229	0.1793049187
230	0.1791504759
231	0.1789876844
232	0.1787649193
233	0.178544269
234	0.1782437667
235	0.1781084098
236	0.1778250756
237	0.1776651373
238	0.1775524532
239	0.1773614539
240	0.1771175479
241	0.1768936609
242	0.1767046035
243	0.1765406566
244	0.1763562439
245	0.1761760361
246	0.1758765666
