iter	Passed	Remaining
404	8436	12394
405	8454	12369
406	8472	12343
407	8489	12318
408	8509	12295
409	8526	12269
410	8546	12247
411	8563	12221
412	8583	12199
413	8602	12176
414	8620	12151
415	8638	12127
416	8656	12102
417	8684	12092
418	8708	12075
419	8730	12056
420	8751	12035
421	8772	12015
422	8794	11995
423	8814	11974
424	8832	11950
425	8849	11924
426	8866	11897
427	8882	11870
428	8901	11847
429	8918	11822
430	8933	11794
431	8948	11766
432	8965	11740
433	8982	11713
434	8996	11684
435	9011	11656
436	9025	11628
437	9040	11599
438	9055	11571
439	9069	11542
440	9084	11514
441	9100	11489
442	9116	11462
443	9131	11435
444	9147	11409
445	9163	11382
446	9178	11354
447	9193	11328
448	9210	11303
449	9227	11277
450	9242	11251
451	9258	11225
452	9274	11199
453	9290	11172
454	9312	11154
455	9332	11133
456	9351	11111
457	9372	11091
458	9394	11072
459	9415	11052
460	9434	11030
461	9454	11009
462	9474	10988
463	9490	10962
464	9514	10946
465	9533	10924
466	9547	10896
467	9563	10871
468	9582	10849
469	9602	10828
470	9623	10808
471	9639	10782
472	9657	10760
473	9674	10735
474	9692	10713
475	9812	10802
476	9832	10780
477	9868	10777
478	9887	10754
479	9903	10729
480	9920	10704
481	9935	10677
482	9950	10651
483	9966	10625
484	9981	10599
485	9996	10572
486	10012	10546
487	10028	10521
488	10045	10497
489	10061	10471
490	10079	10449
491	10099	10427
492	10115	10403
493	10129	10375
494	10145	10350
495	10161	10325
496	10176	10299
497	10193	10274
498	10207	10248
499	10222	10222
500	10237	10196
501	10254	10172
502	10269	10147
503	10286	10122
504	10303	10099
505	10321	10076
506	10337	10052
507	10353	10026
508	10368	10002
509	10385	9978
510	10400	9953
511	10415	9927
512	10432	9904
513	10447	9878
514	10462	9853
515	10478	9828
516	10494	9804
517	10511	9780
518	10525	9755
519	10541	9730
520	10557	9706
521	10571	9680
522	10588	9657
523	10603	9632
524	10618	9607
525	10636	9584
526	10650	9559
527	10665	9534
528	10681	9510
529	10697	9486
530	10712	9461
531	10728	9437
532	10743	9413
533	10758	9388
534	10774	9364
535	10791	9342
536	10806	9317
537	10824	9295
538	10840	9271
539	10856	9248
540	10872	9224
541	10891	9203
542	10905	9178
543	10921	9154
544	10936	9130
545	10951	9106
546	10967	9082
547	10984	9060
548	10998	9034
549	11020	9016
550	11036	8993
551	11051	8969
552	11066	8944
553	11083	8922
554	11101	8901
555	11121	8881
556	11142	8861
557	11160	8840
558	11181	8821
559	11209	8807
560	11231	8789
561	11260	8776
562	11286	8760
563	11310	8743
564	11327	8720
565	11344	8698
566	11360	8675
567	11378	8653
568	11395	8631
569	11412	8609
570	11429	8587
571	11445	8564
572	11464	8543
573	11482	8521
574	11497	8497
575	11513	8475
576	11532	8454
577	11551	8433
578	11568	8411
579	11587	8390
580	11603	8368
581	11620	8346
582	11637	8324
583	11656	8303
584	11673	8281
585	11693	8261
586	11713	8241
587	11731	8220
588	11751	8199
589	11770	8179
590	11790	8159
591	11809	8138
592	11827	8118
593	11847	8097
594	11863	8075
595	11881	8054
596	11899	8032
597	11916	8010
598	11932	7988
599	11948	7965
600	11967	7945
601	11984	7923
602	12001	7901
603	12016	7878
604	12030	7854
605	12050	7834
606	12067	7813
607	12086	7792
608	12102	7770
609	12119	7748
610	12135	7726
611	12150	7703
612	12166	7680
613	12183	7659
614	12197	7635
615	12213	7613
616	12229	7591
617	12245	7569
618	12261	7546
619	12280	7526
620	12302	7508
621	12321	7488
622	12339	7467
623	12365	7451
624	12392	7435
625	12446	7436
626	12472	7420
627	12498	7403
628	12517	7382
629	12538	7363
630	12558	7344
631	12577	7323
632	12593	7301
633	12609	7279
634	12624	7256
635	12642	7235
636	12662	7215
637	12681	7195
638	12703	7176
639	12723	7156
640	12741	7136
641	12758	7114
642	12777	7094
643	12794	7072
644	12812	7051
645	12832	7032
646	12850	7011
647	12865	6988
648	12884	6968
649	12900	6946
650	12917	6925
651	12935	6904
652	12991	6903
653	13028	6892
654	13058	6877
655	13080	6859
656	13101	6839
657	13123	6820
658	13149	6804
659	13173	6786
660	13195	6767
661	13225	6752
662	13251	6735
663	13281	6720
664	13313	6706
665	13337	6688
666	13358	6669
667	13381	6650
668	13401	6630
669	13422	6611
670	13442	6591
671	13465	6572
672	13488	6554
673	13511	6535
674	13533	6515
675	13555	6496
676	13574	6476
677	13594	6456
678	13613	6436
679	13632	6415
680	13652	6395
681	13674	6376
682	13696	6356
683	13721	6339
684	13758	6326
685	13824	6327
686	13857	6313
687	13880	6294
688	13904	6276
689	13927	6257
690	13948	6237
691	13974	6219
692	14004	6204
693	14026	6184
694	14049	6165
695	14069	6145
696	14091	6125
697	14109	6104
698	14131	6085
699	14149	6064
700	14167	6042
701	14187	6022
702	14239	6015
703	14269	5999
704	14309	5987
705	14335	5969
706	14358	5950
707	14387	5934
708	14413	5915
709	14450	5902
710	14488	5889
711	14522	5874
712	14550	5857
713	14579	5840
714	14606	5822
715	14633	5804
716	14658	5785
717	14684	5767
718	14710	5749
719	14740	5732
720	14764	5713
721	14788	5694
722	14815	5676
723	14837	5656
724	14860	5636
725	14881	5616
726	14901	5595
727	14924	5576
728	14946	5556
729	14970	5536
730	14995	5518
731	15020	5499
732	15041	5479
733	15062	5458
734	15083	5438
735	15109	5419
736	15129	5399
737	15153	5379
738	15176	5359
739	15200	5340
740	15223	5320
741	15244	5300
742	15264	5279
743	15284	5259
744	15308	5239
745	15330	5219
746	15352	5199
747	15375	5179
748	15395	5159
749	15416	5138
750	15439	5118
751	15462	5099
752	15486	5079
753	15508	5059
754	15530	5039
755	15550	5019
756	15570	4998
757	15590	4977
758	15609	4956
759	15629	4935
760	15648	4914
761	15665	4892
762	15683	4871
763	15703	4850
764	15725	4830
765	15750	4811
766	15770	4790
767	15789	4769
768	15810	4749
769	15836	4730
770	15867	4712
771	15903	4696
772	15929	4677
773	15956	4659
774	15980	4639
775	16002	4619
776	16021	4598
777	16040	4576
778	16058	4555
779	16077	4534
780	16098	4514
781	16117	4493
782	16138	4472
783	16158	4451
784	16179	4431
785	16200	4410
786	16224	4390
787	16245	4370
788	16264	4349
789	16286	4329
790	16312	4310
791	16334	4289
792	16360	4270
793	16384	4250
794	16409	4231
795	16431	4210
796	16455	4191
797	16481	4172
798	16504	4151
799	16527	4131
800	16548	4111
801	16566	4090
802	16588	4069
803	16607	4048
804	16630	4028
805	16649	4007
806	16667	3986
807	16686	3964
808	16704	3943
809	16724	3923
810	16743	3902
811	16764	3881
812	16783	3860
813	16802	3839
814	16821	3818
815	16841	3797
816	16858	3776
817	16875	3754
818	16894	3733
819	16912	3712
820	16930	3691
821	16949	3670
822	16969	3649
823	16991	3629
824	17014	3609
825	17035	3588
826	17055	3567
827	17074	3546
828	17094	3526
829	17114	3505
830	17132	3484
831	17149	3462
832	17166	3441
833	17183	3420
834	17200	3398
835	17219	3378
836	17240	3357
837	17258	3336
838	17275	3315
839	17291	3293
840	17308	3272
841	17323	3250
842	17342	3229
843	17358	3208
844	17375	3187
845	17395	3166
846	17412	3145
847	17431	3124
848	17449	3103
849	17468	3082
850	17485	3061
851	17502	3040
852	17521	3019
853	17543	2999
854	17560	2978
855	17577	2956
856	17595	2935
857	17612	2914
858	17630	2893
859	17648	2873
860	17665	2851
861	17682	2830
862	17700	2809
863	17720	2789
864	17741	2768
865	17759	2747
866	17777	2727
867	17797	2706
868	17817	2685
869	17836	2665
870	17854	2644
871	17872	2623
872	17889	2602
873	17908	2581
874	17929	2561
875	17948	2540
876	17966	2519
877	17983	2498
878	18001	2477
879	18019	2457
880	18038	2436
881	18055	2415
882	18077	2395
883	18104	2375
884	18128	2355
885	18152	2335
886	18250	2325
887	18296	2307
888	18337	2289
889	18360	2269
890	18382	2248
891	18406	2228
892	18424	2207
893	18447	2187
894	18468	2166
895	18488	2145
896	18509	2125
897	18528	2104
898	18548	2083
899	18570	2063
900	18590	2042
901	18611	2022
902	18631	2001
903	18655	1981
904	18675	1960
905	18695	1939
906	18721	1919
907	18744	1899
908	18767	1878
909	18789	1858
910	18809	1837
911	18829	1816
912	18848	1796
913	18870	1775
914	18892	1755
915	18938	1736
916	18971	1717
917	19000	1697
918	19047	1678
919	19091	1660
920	19134	1641
921	19174	1622
922	19208	1602
923	19254	1583
924	19289	1563
925	19330	1544
926	19432	1530
927	19479	1511
928	19537	1493
929	19595	1474
930	19669	1457
931	19714	1438
932	19746	1418
933	19776	1397
934	19803	1376
935	19830	1355
936	19860	1335
937	19887	1314
938	19915	1293
939	19940	1272
940	19964	1251
941	19986	1230
942	20010	1209
943	20033	1188
944	20060	1167
945	20087	1146
946	20112	1125
947	20147	1105
948	20175	1084
949	20205	1063
950	20231	1042
951	20258	1021
952	20283	1000
953	20311	979
954	20335	958
955	20361	937
956	20403	916
957	20447	896
958	20478	875
959	20504	854
960	20541	833
961	20576	812
962	20604	791
963	20634	770
964	20662	749
965	20690	728
966	20715	706
967	20754	686
968	20794	665
969	20819	643
970	20842	622
971	20869	601
972	20900	579
973	20931	558
974	20957	537
975	20983	515
976	21010	494
977	21042	473
978	21069	451
979	21098	430
980	21148	409
981	21228	389
982	21303	368
983	21437	348
984	21488	327
985	21555	306
986	21585	284
987	21607	262
988	21629	240
989	21651	218
990	21672	196
991	21692	174
992	21726	153
993	21749	131
994	21806	109
995	21830	87
996	21960	66
997	21981	44
998	22005	22
999	22050	0
